Name	Categories	Path
monofur for Powerline	mono	/home/snow/.local/share/fonts/Monofur for Powerline.ttf
monofur for Powerline	mono	/home/snow/.local/share/fonts/Monofur Italic for Powerline.ttf
monofur for Powerline	mono	/home/snow/.local/share/fonts/Monofur Bold for Powerline.ttf
Nimbus Mono PS	mono	/usr/share/fonts/gsfonts/NimbusMonoPS-Bold.otf
Nimbus Mono PS	mono	/usr/share/fonts/gsfonts/NimbusMonoPS-Regular.otf
Nimbus Mono PS	mono	/usr/share/fonts/gsfonts/NimbusMonoPS-Italic.otf
Nimbus Mono PS	mono	/usr/share/fonts/gsfonts/NimbusMonoPS-BoldItalic.otf
Nimbus Roman	other	/usr/share/fonts/gsfonts/NimbusRoman-Italic.otf
Nimbus Roman	other	/usr/share/fonts/gsfonts/NimbusRoman-Regular.otf
Nimbus Roman	other	/usr/share/fonts/gsfonts/NimbusRoman-Bold.otf
Nimbus Roman	other	/usr/share/fonts/gsfonts/NimbusRoman-BoldItalic.otf
Nimbus Sans	sans	/usr/share/fonts/gsfonts/NimbusSans-Italic.otf
Nimbus Sans	sans	/usr/share/fonts/gsfonts/NimbusSans-Regular.otf
Nimbus Sans	sans	/usr/share/fonts/gsfonts/NimbusSans-Bold.otf
Nimbus Sans	sans	/usr/share/fonts/gsfonts/NimbusSans-BoldItalic.otf
Nimbus Sans Narrow	sans	/usr/share/fonts/gsfonts/NimbusSansNarrow-Bold.otf
Nimbus Sans Narrow	sans	/usr/share/fonts/gsfonts/NimbusSansNarrow-Oblique.otf
Nimbus Sans Narrow	sans	/usr/share/fonts/gsfonts/NimbusSansNarrow-Regular.otf
Nimbus Sans Narrow	sans	/usr/share/fonts/gsfonts/NimbusSansNarrow-BoldOblique.otf
Noto Mono for Powerline	mono	/home/snow/.local/share/fonts/Noto Mono for Powerline.ttf
NovaMono for Powerline	mono	/home/snow/.local/share/fonts/NovaMono for Powerline.ttf
P052	other	/usr/share/fonts/gsfonts/P052-Bold.otf
P052	other	/usr/share/fonts/gsfonts/P052-Roman.otf
P052	other	/usr/share/fonts/gsfonts/P052-Italic.otf
P052	other	/usr/share/fonts/gsfonts/P052-BoldItalic.otf
ProFont for Powerline	other	/home/snow/.local/share/fonts/ProFont Bold For Powerline.ttf
ProFont for Powerline	other	/home/snow/.local/share/fonts/ProFont For Powerline.ttf
Roboto	sans	/home/snow/.fonts/Roboto-Medium.ttf
Roboto	sans	/home/snow/.fonts/Roboto-Regular.ttf
Roboto Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Bold Italic for Powerline.ttf
Roboto Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Italic for Powerline.ttf
Roboto Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Bold for Powerline.ttf
Roboto Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono for Powerline.ttf
Roboto Mono Light for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Light Italic for Powerline.ttf
Roboto Mono Light for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Light for Powerline.ttf
Roboto Mono Medium for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Medium for Powerline.ttf
Roboto Mono Medium for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Medium Italic for Powerline.ttf
Roboto Mono Thin for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Thin for Powerline.ttf
